comment,link
Υπέροχο! Κόλλημα....Με την ψυχή μου δεν τα βρήκα πουθενά....λέξη προς λέξη συγκλονιστικό! Μπράβο Νίκολα,https://www.youtube.com/watch?v=b0z_dp5-luQ
Είσαι αστέρι φωνάρα είσαι το μέλλον της ελληνικής λαϊκής μουσικής  συνέχισε έτσι!!!!,https://www.youtube.com/watch?v=b0z_dp5-luQ
Μπράβο ρε Νικόλα!!!για αλλη μια φορά αξεπέραστος!! μουσική και στίχοι φοβεροί!!! μπράβο σας!!!!,https://www.youtube.com/watch?v=b0z_dp5-luQ
"Συγχαρητήρια για ακόμα μία φορά στον Γιώργο Σαμπάνη για την μουσική,στον Νίκο Γρίτση για τον καταπληκτικό στίχο και φυσικά στην φωνάρα του Νίκου που το απογείωσε το τραγούδι.",https://www.youtube.com/watch?v=b0z_dp5-luQ
Μητέρα Νίκο μου είσαι απίθανος πάντα τέτοια τραγούδια!! Σου πάνε πολύ!! Να σαι πάντα καλά με αυτή την θεϊκή φωνή!!!,https://www.youtube.com/watch?v=b0z_dp5-luQ
Ένα ακόμα υπέροχο τραγούδι προστέθηκε Στην πλούσια συλλογή τών επιτυχιών του Νίκου η επιτυχία είναι δεδομένη,https://www.youtube.com/watch?v=b0z_dp5-luQ
Δεν μου είπατε ρε παιδιά ότι είχαμε νέα συνεδρία πριν έξι μέρες με το γιατρό.,https://www.youtube.com/watch?v=b0z_dp5-luQ
Πανέμορφο τραγούδι από το αξιολάτρευτο οικονομοπουλο,https://www.youtube.com/watch?v=b0z_dp5-luQ
"Πάνω μου, πάνω μου το λάθος,

'Eκπτωτος άγγελος μονάχος,

Διώξε με απ’ την αγκαλιά σου,

Κόψε με από τα φτερά σου.",https://www.youtube.com/watch?v=b0z_dp5-luQ
Αυτό το τραγούδι έχει κάνει μπαμ πριν καν κυκλοφορήσει. Χρόνια είχα να το δω αυτό. Τι κομματάρα Θεέ μου!,https://www.youtube.com/watch?v=b0z_dp5-luQ
Ψυχολόγε της καρδιας μας έγραψες για άλλη μια φορά !!!! Από την πρώτη στιγμή που το άκουσα είναι είδη στην καρδιά μου 🫶 καλοτάξιδο κ πολλές ακόμη επιτυχίες το αξίζεις κ σαγαπαμε 🫶🫶,https://www.youtube.com/watch?v=b0z_dp5-luQ
Σ αγαπάω ρε Νικόλα τι κλάμα έχω ρίξει με τα τραγούδια σου … όταν δεν είμαι καλά βάζω να σε ακούω και ηρεμούν τα μέσα μου !!!,https://www.youtube.com/watch?v=b0z_dp5-luQ
"Ανατριχιαστική κομματάρα από τον ανεπανάληπτο άρχοντα Νίκο Οικονομόπουλο. Αριστουργηματικό video clip, μοναδικοί στίχοι, μαγική μουσική. Ένα απίθανο ζεϊμπέκικο που θα κάνει πάταγο. Η κορυφή σου ανήκει! Συγχαρητήρια σε Σαμπάνη και Γρίτση, βγάλατε ένα τραγούδι διαμάντι και ο Οικονομόπουλος το απογείωσε και μας πλημμύρισε με χιλιάδες συναισθήματα!",https://www.youtube.com/watch?v=b0z_dp5-luQ
"Ποσο υπεροχο τραγουδι, απο την ωρα που το ακουσα παιζει στο μυαλο μου συνεχεια . Εξαιρετική ερμηνεία, Καλοταξιδο !!! Μπραβο στον Σαμπάνη και Γρίτση",https://www.youtube.com/watch?v=b0z_dp5-luQ
